lenguaje;matematicas;sociales;Id;filosofia;biologia;quimica;fisica;nivel_ingles; sisben;estrato;genero;puntaje_saber11   
medio;medio;medio;5326;medio;medio;medio;medio;A-;1;1;Hombre;medio
alto;alto;alto;5327;alto;alto;alto;alto;A1;1;1;Mujer;medio
alto;superior;alto;5328;medio;alto;alto;alto;A2;2;2;Mujer;medio
alto;alto;medio;5329;medio;alto;alto;alto;A2;5;5;Hombre;medio
medio;alto;medio;5330;medio;medio;medio;alto;A-;5;4;Hombre;medio
alto;alto;medio;5331;medio;medio;medio;medio;A2;2;3;Hombre;medio
medio;medio;alto;5332;medio;medio;medio;alto;A-;1;2;Hombre;medio
medio;medio;medio;5333;medio;alto;medio;medio;A-;5;3;Hombre;medio
alto;alto;alto;5334;alto;alto;alto;alto;A2;5;6;Mujer;medio
alto;alto;medio;5335;alto;medio;alto;alto;A1;5;1;Hombre;medio
medio;alto;medio;5336;bajo;medio;alto;medio;A-;2;2;Mujer;medio
alto;alto;alto;5337;alto;medio;alto;medio;A1;2;2;Hombre;medio
alto;alto;alto;5338;alto;alto;medio;medio;B1;5;3;Mujer;medio
alto;medio;medio;5339;medio;medio;medio;alto;A1;1;1;Mujer;medio
alto;alto;alto;5340;medio;alto;alto;medio;A1;4;1;Hombre;medio
alto;medio;medio;5341;medio;medio;medio;medio;A-;5;3;Hombre;medio
medio;medio;alto;5342;medio;medio;alto;medio;A1;5;4;Hombre;medio
medio;medio;alto;5343;medio;alto;medio;alto;A1;5;3;Mujer;medio
alto;medio;alto;5344;medio;alto;medio;medio;A1;5;3;Mujer;medio
medio;alto;alto;5345;alto;alto;alto;medio;A2;3;2;Mujer;medio
alto;alto;alto;5346;medio;alto;alto;medio;B1;5;3;Hombre;medio
alto;medio;medio;5347;alto;medio;alto;medio;A1;2;2;Hombre;medio
alto;alto;alto;5348;alto;alto;alto;alto;A1;5;3;Hombre;medio
alto;medio;alto;5349;medio;alto;alto;alto;A1;5;3;Hombre;medio
alto;alto;alto;5350;medio;alto;medio;medio;A1;1;2;Mujer;medio
alto;alto;alto;5351;medio;alto;alto;medio;A2;1;1;Hombre;medio
